!Agilent Technologies,E4990A,MY54201829,A.02.20
!Date: Fri Mar 18 03:40:07 2022

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+1.22135251000e+005, +9.35694576942e+001, +8.96107887870e+001
+1.23301204000e+005, +9.44693853390e+001, +8.96069178995e+001
+1.24478287000e+005, +9.53795105010e+001, +8.96045960541e+001
+1.25666608000e+005, +9.62973871706e+001, +8.96007311019e+001
+1.26866272000e+005, +9.72279026245e+001, +8.95973381231e+001
+1.28077389000e+005, +9.81627176578e+001, +8.95934175867e+001
+1.29300068000e+005, +9.91094472375e+001, +8.95907663957e+001
+1.30534419000e+005, +1.00066051762e+002, +8.95872216516e+001
+1.31780554000e+005, +1.01032146988e+002, +8.95837039687e+001
+1.33038585000e+005, +1.02005455896e+002, +8.95801845057e+001
+1.34308625000e+005, +1.02991397356e+002, +8.95770088300e+001
+1.35590790000e+005, +1.03984190677e+002, +8.95721638534e+001
+1.36885195000e+005, +1.04988473047e+002, +8.95692880632e+001
+1.38191957000e+005, +1.06000971011e+002, +8.95646360956e+001
+1.39511193000e+005, +1.07025066503e+002, +8.95617262231e+001
+1.40843024000e+005, +1.08058306606e+002, +8.95570697277e+001
+1.42187569000e+005, +1.09104364033e+002, +8.95538160191e+001
+1.43544949000e+005, +1.10155674128e+002, +8.95509009648e+001
+1.44915288000e+005, +1.11222259684e+002, +8.95457393061e+001
+1.46298708000e+005, +1.12297408892e+002, +8.95417955533e+001
+1.47695335000e+005, +1.13383077608e+002, +8.95391362552e+001
+1.49105295000e+005, +1.14479582149e+002, +8.95347805793e+001
+1.50528715000e+005, +1.15587544485e+002, +8.95300300430e+001
+1.51965723000e+005, +1.16706188710e+002, +8.95268269322e+001
+1.53416450000e+005, +1.17837408362e+002, +8.95221446817e+001
+1.54881026000e+005, +1.18977237311e+002, +8.95178329403e+001
+1.56359583000e+005, +1.20131433456e+002, +8.95133169522e+001
+1.57852255000e+005, +1.21292902801e+002, +8.95098771767e+001
+1.59359177000e+005, +1.22469660630e+002, +8.95053097649e+001
+1.60880485000e+005, +1.23655419957e+002, +8.95000479181e+001
+1.62416315000e+005, +1.24856723486e+002, +8.94950355451e+001
+1.63966808000e+005, +1.26067701452e+002, +8.94919036332e+001
+1.65532102000e+005, +1.27291232126e+002, +8.94877696129e+001
+1.67112338000e+005, +1.28526781874e+002, +8.94810884665e+001
+1.68707661000e+005, +1.29775975911e+002, +8.94776557050e+001
+1.70318213000e+005, +1.31033574277e+002, +8.94727147848e+001
+1.71944140000e+005, +1.32308215664e+002, +8.94696293062e+001
+1.73585588000e+005, +1.33592639605e+002, +8.94638474728e+001
+1.75242707000e+005, +1.34895736007e+002, +8.94596339590e+001
+1.76915645000e+005, +1.36206306657e+002, +8.94544571702e+001
+1.78604554000e+005, +1.37531603206e+002, +8.94500702863e+001
+1.80309586000e+005, +1.38871160773e+002, +8.94439840457e+001
+1.82030895000e+005, +1.40221213575e+002, +8.94394679677e+001
+1.83768636000e+005, +1.41591273483e+002, +8.94349440122e+001
+1.85522966000e+005, +1.42968327806e+002, +8.94276548277e+001
+1.87294044000e+005, +1.44361943699e+002, +8.94239321595e+001
+1.89082029000e+005, +1.45771394340e+002, +8.94189896838e+001
+1.90887083000e+005, +1.47192706417e+002, +8.94152701873e+001
+1.92709369000e+005, +1.48631005223e+002, +8.94086591622e+001
+1.94549051000e+005, +1.50083636862e+002, +8.94036365506e+001
+1.96406295000e+005, +1.51548282632e+002, +8.93984281535e+001
+1.98281270000e+005, +1.53030384557e+002, +8.93927467551e+001
+2.00174143000e+005, +1.54524308816e+002, +8.93869490122e+001
+2.02085087000e+005, +1.56041919604e+002, +8.93831724527e+001
+2.04014274000e+005, +1.57568695406e+002, +8.93766496844e+001
+2.05961877000e+005, +1.59111294255e+002, +8.93708579818e+001
+2.07928073000e+005, +1.60670218484e+002, +8.93648789663e+001
+2.09913039000e+005, +1.62241421233e+002, +8.93581564622e+001
+2.11916954000e+005, +1.63833486883e+002, +8.93511953335e+001
+2.13940000000e+005, +1.65443422274e+002, +8.93475330706e+001
+2.15982358000e+005, +1.67065029963e+002, +8.93405891096e+001
+2.18044214000e+005, +1.68705012903e+002, +8.93346795840e+001
+2.20125752000e+005, +1.70367124639e+002, +8.93290785741e+001
+2.22227162000e+005, +1.72044433112e+002, +8.93237897391e+001
+2.24348633000e+005, +1.73732510927e+002, +8.93168022654e+001
+2.26490357000e+005, +1.75449793925e+002, +8.93108510915e+001
+2.28652526000e+005, +1.77176395108e+002, +8.93051617320e+001
+2.30835336000e+005, +1.78919857346e+002, +8.92970015767e+001
+2.33038984000e+005, +1.80687887545e+002, +8.92926332568e+001
+2.35263669000e+005, +1.82476140379e+002, +8.92850889065e+001
+2.37509592000e+005, +1.84277036808e+002, +8.92780026025e+001
+2.39776955000e+005, +1.86098796773e+002, +8.92713643104e+001
+2.42065964000e+005, +1.87941516609e+002, +8.92651204794e+001
+2.44376824000e+005, +1.89795054389e+002, +8.92573906749e+001
+2.46709744000e+005, +1.91680897170e+002, +8.92507946797e+001
+2.49064936000e+005, +1.93580365821e+002, +8.92440018144e+001
+2.51442611000e+005, +1.95502424020e+002, +8.92382673080e+001
+2.53842985000e+005, +1.97433129423e+002, +8.92315861080e+001
+2.56266273000e+005, +1.99405828834e+002, +8.92244369219e+001
+2.58712696000e+005, +2.01388212456e+002, +8.92162012487e+001
+2.61182472000e+005, +2.03386674684e+002, +8.92085705173e+001
+2.63675826000e+005, +2.05410224725e+002, +8.92019699614e+001
+2.66192983000e+005, +2.07467415883e+002, +8.91939655054e+001
+2.68734170000e+005, +2.09534585484e+002, +8.91865620812e+001
+2.71299616000e+005, +2.11626627912e+002, +8.91791862304e+001
+2.73889552000e+005, +2.13738402348e+002, +8.91715649141e+001
+2.76504213000e+005, +2.15880063094e+002, +8.91651874281e+001
+2.79143835000e+005, +2.18035131470e+002, +8.91563077094e+001
+2.81808656000e+005, +2.20228226731e+002, +8.91498632008e+001
+2.84498916000e+005, +2.22428137491e+002, +8.91426775697e+001
+2.87214858000e+005, +2.24664930093e+002, +8.91355998618e+001
+2.89956728000e+005, +2.26925667597e+002, +8.91251487999e+001
+2.92724773000e+005, +2.29208017419e+002, +8.91176292173e+001
+2.95519243000e+005, +2.31517253613e+002, +8.91089449293e+001
+2.98340390000e+005, +2.33848396520e+002, +8.91039558665e+001
+3.01188469000e+005, +2.36205912714e+002, +8.90938636104e+001
+3.04063737000e+005, +2.38593250901e+002, +8.90855774362e+001
+3.06966453000e+005, +2.41005533066e+002, +8.90766137496e+001
+3.09896880000e+005, +2.43454123692e+002, +8.90668952595e+001
+3.12855281000e+005, +2.45918195293e+002, +8.90603836497e+001
+3.15841925000e+005, +2.48409990958e+002, +8.90517805120e+001
+3.18857081000e+005, +2.50925674961e+002, +8.90425987803e+001
+3.21901020000e+005, +2.53485589181e+002, +8.90338829303e+001
+3.24974019000e+005, +2.56073187904e+002, +8.90256684893e+001
+3.28076353000e+005, +2.58680818287e+002, +8.90141961102e+001
+3.31208303000e+005, +2.61324294098e+002, +8.90068974619e+001
+3.34370152000e+005, +2.63992667427e+002, +8.89978444508e+001
+3.37562186000e+005, +2.66699083146e+002, +8.89908665862e+001
+3.40784692000e+005, +2.69424860360e+002, +8.89790756992e+001
+3.44037962000e+005, +2.72189853263e+002, +8.89695342562e+001
+3.47322288000e+005, +2.75008512167e+002, +8.89616307774e+001
+3.50637968000e+005, +2.77824771365e+002, +8.89492859272e+001
+3.53985301000e+005, +2.80689101463e+002, +8.89411738255e+001
+3.57364588000e+005, +2.83582533871e+002, +8.89322387061e+001
+3.60776136000e+005, +2.86517134360e+002, +8.89234826809e+001
+3.64220252000e+005, +2.89483749979e+002, +8.89119098586e+001
+3.67697247000e+005, +2.92490703156e+002, +8.89031616909e+001
+3.71207435000e+005, +2.95525779515e+002, +8.88922430458e+001
+3.74751132000e+005, +2.98600590301e+002, +8.88801339673e+001
+3.78328659000e+005, +3.01712440254e+002, +8.88705287070e+001
+3.81940338000e+005, +3.04870737906e+002, +8.88582923086e+001
+3.85586496000e+005, +3.08062560882e+002, +8.88489340376e+001
+3.89267462000e+005, +3.11276249612e+002, +8.88406924928e+001
+3.92983567000e+005, +3.14560333503e+002, +8.88312638708e+001
+3.96735148000e+005, +3.17858444175e+002, +8.88189490370e+001
+4.00522544000e+005, +3.21206287430e+002, +8.88093265691e+001
+4.04346095000e+005, +3.24594679467e+002, +8.87978525402e+001
+4.08206147000e+005, +3.28032897714e+002, +8.87872476986e+001
+4.12103049000e+005, +3.31525315850e+002, +8.87743739909e+001
+4.16037153000e+005, +3.35032380677e+002, +8.87646256583e+001
+4.20008813000e+005, +3.38605173266e+002, +8.87524558536e+001
+4.24018388000e+005, +3.42213159664e+002, +8.87433196521e+001
+4.28066240000e+005, +3.45853128490e+002, +8.87326202812e+001
+4.32152735000e+005, +3.49568266356e+002, +8.87142992276e+001
+4.36278241000e+005, +3.53339337526e+002, +8.87082230133e+001
+4.40443130000e+005, +3.57158617187e+002, +8.86912897370e+001
+4.44647780000e+005, +3.60974537004e+002, +8.86828469433e+001
+4.48892568000e+005, +3.64884408769e+002, +8.86690916786e+001
+4.53177880000e+005, +3.68829367476e+002, +8.86550525661e+001
+4.57504100000e+005, +3.72831568190e+002, +8.86455236964e+001
+4.61871621000e+005, +3.76896150314e+002, +8.86299681750e+001
+4.66280835000e+005, +3.81028145843e+002, +8.86188407764e+001
+4.70732142000e+005, +3.85199410249e+002, +8.86078979488e+001
+4.75225942000e+005, +3.89420115122e+002, +8.85963502878e+001
+4.79762643000e+005, +3.93711539616e+002, +8.85814755746e+001
+4.84342652000e+005, +3.98069676483e+002, +8.85663316496e+001
+4.88966384000e+005, +4.02492746327e+002, +8.85547451108e+001
+4.93634256000e+005, +4.06950250737e+002, +8.85377372863e+001
+4.98346690000e+005, +4.11495200611e+002, +8.85276542121e+001
+5.03104110000e+005, +4.16106361956e+002, +8.85107111199e+001
+5.07906947000e+005, +4.20751831188e+002, +8.84992359302e+001
+5.12755633000e+005, +4.25497128420e+002, +8.84881113716e+001
+5.17650607000e+005, +4.30277430465e+002, +8.84709155977e+001
+5.22592311000e+005, +4.35150199326e+002, +8.84543851683e+001
+5.27581190000e+005, +4.40061008890e+002, +8.84419818016e+001
+5.32617695000e+005, +4.45103033952e+002, +8.84258487015e+001
+5.37702280000e+005, +4.50198097172e+002, +8.84068909836e+001
+5.42835405000e+005, +4.55341173175e+002, +8.83959437948e+001
+5.48017533000e+005, +4.60596716374e+002, +8.83784757579e+001
+5.53249131000e+005, +4.65928418993e+002, +8.83628307141e+001
+5.58530672000e+005, +4.71350296876e+002, +8.83488041576e+001
+5.63862634000e+005, +4.76821650499e+002, +8.83317845676e+001
+5.69245496000e+005, +4.82400264789e+002, +8.83178531170e+001
+5.74679745000e+005, +4.88099771206e+002, +8.83035177708e+001
+5.80165872000e+005, +4.93832595125e+002, +8.82851043482e+001
+5.85704371000e+005, +4.99651431870e+002, +8.82646135983e+001
+5.91295744000e+005, +5.05595470478e+002, +8.82523747525e+001
+5.96940494000e+005, +5.11662071720e+002, +8.82368201983e+001
+6.02639131000e+005, +5.17808742480e+002, +8.82175946443e+001
+6.08392169000e+005, +5.24065870570e+002, +8.82022958671e+001
+6.14200128000e+005, +5.30395313283e+002, +8.81841696016e+001
+6.20063533000e+005, +5.36818258847e+002, +8.81654234319e+001
+6.25982912000e+005, +5.43341884121e+002, +8.81505614338e+001
+6.31958799000e+005, +5.50060800756e+002, +8.81297034383e+001
+6.37991735000e+005, +5.56871939189e+002, +8.81126812201e+001
+6.44082264000e+005, +5.63773598536e+002, +8.80895493939e+001
+6.50230936000e+005, +5.70766976316e+002, +8.80744761475e+001
+6.56438305000e+005, +5.77971730056e+002, +8.80567905745e+001
+6.62704932000e+005, +5.85265580207e+002, +8.80330604915e+001
+6.69031383000e+005, +5.92622712195e+002, +8.80119275604e+001
+6.75418229000e+005, +6.00175391838e+002, +8.79941485108e+001
+6.81866047000e+005, +6.07926427281e+002, +8.79745205213e+001
+6.88375417000e+005, +6.15796086734e+002, +8.79482593015e+001
+6.94946929000e+005, +6.23780775399e+002, +8.79275689607e+001
+7.01581176000e+005, +6.31929580219e+002, +8.79061726485e+001
+7.08278755000e+005, +6.40228293430e+002, +8.78845058519e+001
+7.15040272000e+005, +6.48698320598e+002, +8.78630611664e+001
+7.21866338000e+005, +6.57334272579e+002, +8.78404499223e+001
+7.28757568000e+005, +6.66132983982e+002, +8.78178448754e+001
+7.35714584000e+005, +6.75123803693e+002, +8.77948188248e+001
+7.42738015000e+005, +6.84300520413e+002, +8.77717323283e+001
+7.49828495000e+005, +6.93666644377e+002, +8.77478560158e+001
+7.56986663000e+005, +7.03227098407e+002, +8.77239069308e+001
+7.64213166000e+005, +7.12983338897e+002, +8.76983701903e+001
+7.71508656000e+005, +7.22952758659e+002, +8.76733261045e+001
+7.78873791000e+005, +7.33150804633e+002, +8.76476934780e+001
+7.86309238000e+005, +7.43569864387e+002, +8.76211912104e+001
+7.93815666000e+005, +7.54218295746e+002, +8.75953160925e+001
+8.01393753000e+005, +7.65115132415e+002, +8.75682266947e+001
+8.09044184000e+005, +7.76250167754e+002, +8.75395677358e+001
+8.16767649000e+005, +7.87658500614e+002, +8.75119712809e+001
+8.24564846000e+005, +7.99332600463e+002, +8.74839088710e+001
+8.32436477000e+005, +8.11284950353e+002, +8.74539224525e+001
+8.40383255000e+005, +8.23534849184e+002, +8.74247118169e+001
+8.48405895000e+005, +8.36077888887e+002, +8.73939816663e+001
+8.56505124000e+005, +8.48942075026e+002, +8.73627150577e+001
+8.64681670000e+005, +8.62120769376e+002, +8.73309416355e+001
+8.72936273000e+005, +8.75646788262e+002, +8.72980526986e+001
+8.81269678000e+005, +8.89520738050e+002, +8.72654705573e+001
+8.89682637000e+005, +9.03748817507e+002, +8.72309563422e+001
+8.98175910000e+005, +9.18382214664e+002, +8.71960351758e+001
