!Agilent Technologies,E4990A,MY54201829,A.02.20
!Date: Thu Nov 04 14:24:30 2021

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+1.02920053000e+005, +4.59955043585e+002, +8.93107200029e+001
+1.03514217000e+005, +4.62917596604e+002, +8.93092283243e+001
+1.04111811000e+005, +4.65838088900e+002, +8.93075868469e+001
+1.04712855000e+005, +4.68827068743e+002, +8.93067939271e+001
+1.05317369000e+005, +4.71773286526e+002, +8.93116829443e+001
+1.05925373000e+005, +4.74805211796e+002, +8.93034955559e+001
+1.06536886000e+005, +4.77850017828e+002, +8.93080026204e+001
+1.07151931000e+005, +4.80904877574e+002, +8.93002729899e+001
+1.07770525000e+005, +4.83989151728e+002, +8.93000296788e+001
+1.08392691000e+005, +4.87057558565e+002, +8.92934406597e+001
+1.09018449000e+005, +4.90203040911e+002, +8.92880516370e+001
+1.09647820000e+005, +4.93390916840e+002, +8.92784941112e+001
+1.10280823000e+005, +4.96656781942e+002, +8.92727940347e+001
+1.10917482000e+005, +4.99965482090e+002, +8.92515275999e+001
+1.11557815000e+005, +5.03216382983e+002, +8.92226219053e+001
+1.12201845000e+005, +5.06518590814e+002, +8.91770307936e+001
+1.12849594000e+005, +5.09863213843e+002, +8.91115951622e+001
+1.13501082000e+005, +5.12796699655e+002, +8.90062855916e+001
+1.14156330000e+005, +5.14929917295e+002, +8.89097402147e+001
+1.14815362000e+005, +5.16578979952e+002, +8.89163022163e+001
+1.15478198000e+005, +5.19006483313e+002, +8.90293198833e+001
+1.16144861000e+005, +5.22199784913e+002, +8.91248155403e+001
+1.16815373000e+005, +5.25695479251e+002, +8.91843471892e+001
+1.17489755000e+005, +5.29107254748e+002, +8.92265964224e+001
+1.18168031000e+005, +5.32676128579e+002, +8.92520488854e+001
+1.18850223000e+005, +5.36199708793e+002, +8.92669296056e+001
+1.19536353000e+005, +5.39663558731e+002, +8.92779003875e+001
+1.20226443000e+005, +5.43225276263e+002, +8.92905130713e+001
+1.20920518000e+005, +5.46739032991e+002, +8.92907431490e+001
+1.21618600000e+005, +5.50279442924e+002, +8.92905770912e+001
+1.22320712000e+005, +5.53851346542e+002, +8.92926802716e+001
+1.23026877000e+005, +5.57429707200e+002, +8.92972002743e+001
+1.23737119000e+005, +5.61030229286e+002, +8.92936948132e+001
+1.24451461000e+005, +5.64579853177e+002, +8.92967166292e+001
+1.25169927000e+005, +5.68192060523e+002, +8.93048126982e+001
+1.25892541000e+005, +5.71858786337e+002, +8.92984638321e+001
+1.26619327000e+005, +5.75594877357e+002, +8.93110660521e+001
+1.27350308000e+005, +5.79238431319e+002, +8.92942149899e+001
+1.28085509000e+005, +5.82878894685e+002, +8.92961797701e+001
+1.28824955000e+005, +5.86719956298e+002, +8.93085428554e+001
+1.29568670000e+005, +5.90344396560e+002, +8.92970557140e+001
+1.30316678000e+005, +5.94153637898e+002, +8.92953528869e+001
+1.31069004000e+005, +5.97980847415e+002, +8.92930802544e+001
+1.31825674000e+005, +6.01853009408e+002, +8.92899540245e+001
+1.32586712000e+005, +6.05793814066e+002, +8.92896903047e+001
+1.33352143000e+005, +6.09669663480e+002, +8.92910948748e+001
+1.34121994000e+005, +6.13600875620e+002, +8.92919003157e+001
+1.34896288000e+005, +6.17569272165e+002, +8.92887644324e+001
+1.35675053000e+005, +6.21552795025e+002, +8.92890950624e+001
+1.36458314000e+005, +6.25572285276e+002, +8.92877038919e+001
+1.37246096000e+005, +6.29631222844e+002, +8.92870548961e+001
+1.38038426000e+005, +6.33704563389e+002, +8.92836928061e+001
+1.38835331000e+005, +6.37804514065e+002, +8.92837911026e+001
+1.39636836000e+005, +6.41961023980e+002, +8.92809676571e+001
+1.40442968000e+005, +6.46133448882e+002, +8.92822369879e+001
+1.41253754000e+005, +6.50230544633e+002, +8.92753202162e+001
+1.42069221000e+005, +6.54585637383e+002, +8.92826144561e+001
+1.42889396000e+005, +6.58864715901e+002, +8.92735100341e+001
+1.43714305000e+005, +6.63149934921e+002, +8.92718519372e+001
+1.44543977000e+005, +6.67487098554e+002, +8.92731674228e+001
+1.45378439000e+005, +6.71887517540e+002, +8.92718975577e+001
+1.46217717000e+005, +6.76273814081e+002, +8.92705405173e+001
+1.47061842000e+005, +6.80733277208e+002, +8.92710707401e+001
+1.47910839000e+005, +6.85237643119e+002, +8.92672966625e+001
+1.48764737000e+005, +6.89714399360e+002, +8.92659586945e+001
+1.49623566000e+005, +6.94298655794e+002, +8.92649605076e+001
+1.50487352000e+005, +6.98890608601e+002, +8.92626158161e+001
+1.51356125000e+005, +7.03546276650e+002, +8.92581316302e+001
+1.52229913000e+005, +7.08216802495e+002, +8.92570321125e+001
+1.53108746000e+005, +7.12943826010e+002, +8.92551290844e+001
+1.53992653000e+005, +7.17723129016e+002, +8.92491778607e+001
+1.54881662000e+005, +7.22503460936e+002, +8.92492486142e+001
+1.55775803000e+005, +7.27378688763e+002, +8.92467933230e+001
+1.56675107000e+005, +7.32312720003e+002, +8.92429480909e+001
+1.57579602000e+005, +7.37213083709e+002, +8.92362866065e+001
+1.58489319000e+005, +7.42266197488e+002, +8.92272300759e+001
+1.59404288000e+005, +7.47313062006e+002, +8.92168592630e+001
+1.60324539000e+005, +7.52433771584e+002, +8.91989584677e+001
+1.61250103000e+005, +7.57534809206e+002, +8.91761597469e+001
+1.62181010000e+005, +7.62491832624e+002, +8.91445263006e+001
+1.63117291000e+005, +7.67214938829e+002, +8.91160997791e+001
+1.64058977000e+005, +7.71755401121e+002, +8.91208913062e+001
+1.65006100000e+005, +7.76615276023e+002, +8.91463956480e+001
+1.65958691000e+005, +7.81834317894e+002, +8.91699731183e+001
+1.66916781000e+005, +7.87200130032e+002, +8.91881239713e+001
+1.67880402000e+005, +7.92669307226e+002, +8.91951969001e+001
+1.68849586000e+005, +7.98144122987e+002, +8.92024131350e+001
+1.69824365000e+005, +8.03714702827e+002, +8.91997063966e+001
+1.70804772000e+005, +8.09271402494e+002, +8.92085944485e+001
+1.71790839000e+005, +8.14942393927e+002, +8.92072905605e+001
+1.72782598000e+005, +8.20485651136e+002, +8.91995937552e+001
+1.73780083000e+005, +8.26107413964e+002, +8.92079954701e+001
+1.74783326000e+005, +8.32119482465e+002, +8.91990409183e+001
+1.75792361000e+005, +8.37858236744e+002, +8.92021047495e+001
+1.76807222000e+005, +8.43747471359e+002, +8.91977552701e+001
+1.77827941000e+005, +8.49695945694e+002, +8.91921019033e+001
+1.78854553000e+005, +8.55671312554e+002, +8.91894166688e+001
+1.79887092000e+005, +8.61756848210e+002, +8.91862706485e+001
+1.80925591000e+005, +8.67849344796e+002, +8.91797108061e+001
+1.81970086000e+005, +8.74077529355e+002, +8.91765776538e+001
+1.83020611000e+005, +8.80305848953e+002, +8.91708277496e+001
+1.84077200000e+005, +8.86631361712e+002, +8.91635917605e+001
+1.85139889000e+005, +8.93066021716e+002, +8.91560973053e+001
+1.86208714000e+005, +8.99632082794e+002, +8.91417987633e+001
+1.87283708000e+005, +9.06165774648e+002, +8.91320180591e+001
+1.88364909000e+005, +9.12753590629e+002, +8.91121317861e+001
+1.89452351000e+005, +9.19628846257e+002, +8.90758502666e+001
+1.90546072000e+005, +9.26456397968e+002, +8.90395140361e+001
+1.91646106000e+005, +9.33073326268e+002, +8.89737117907e+001
+1.92752491000e+005, +9.39317573711e+002, +8.88919872555e+001
+1.93865264000e+005, +9.44580390045e+002, +8.88200312444e+001
+1.94984460000e+005, +9.49462646169e+002, +8.88233897334e+001
+1.96110118000e+005, +9.54946403650e+002, +8.88862600494e+001
+1.97242274000e+005, +9.61414597569e+002, +8.89595399739e+001
+1.98380966000e+005, +9.68463360290e+002, +8.90111789630e+001
+1.99526231000e+005, +9.75832129099e+002, +8.90471955270e+001
+2.00678109000e+005, +9.83203257849e+002, +8.90743589058e+001
+2.01836636000e+005, +9.90607846585e+002, +8.90872516959e+001
+2.03001852000e+005, +9.98264679232e+002, +8.90977573637e+001
+2.04173794000e+005, +1.00591128032e+003, +8.90992761112e+001
+2.05352503000e+005, +1.01346176390e+003, +8.90897894355e+001
+2.06538016000e+005, +1.02110589634e+003, +8.91066935735e+001
+2.07730373000e+005, +1.02882414573e+003, +8.91041254628e+001
+2.08929613000e+005, +1.03661677747e+003, +8.91038595751e+001
+2.10135777000e+005, +1.04448893503e+003, +8.91038217675e+001
+2.11348904000e+005, +1.05243598944e+003, +8.91012046430e+001
+2.12569035000e+005, +1.06047249304e+003, +8.90979511626e+001
+2.13796209000e+005, +1.06860969220e+003, +8.90959686453e+001
+2.15030468000e+005, +1.07680814552e+003, +8.90903730479e+001
+2.16271852000e+005, +1.08514289642e+003, +8.90879278521e+001
+2.17520403000e+005, +1.09340413089e+003, +8.90843097785e+001
+2.18776162000e+005, +1.10179277609e+003, +8.90834974941e+001
+2.20039171000e+005, +1.11055094347e+003, +8.90785627310e+001
+2.21309471000e+005, +1.11931349974e+003, +8.90758141571e+001
+2.22587104000e+005, +1.12788356023e+003, +8.90666469977e+001
+2.23872114000e+005, +1.13682768128e+003, +8.90585023888e+001
+2.25164542000e+005, +1.14586485998e+003, +8.90541564740e+001
+2.26464431000e+005, +1.15495586624e+003, +8.90506089637e+001
+2.27771824000e+005, +1.16420926120e+003, +8.90401056407e+001
+2.29086765000e+005, +1.17361165268e+003, +8.90381029293e+001
+2.30409298000e+005, +1.18314451276e+003, +8.90308421518e+001
+2.31739465000e+005, +1.19270993651e+003, +8.90175416397e+001
+2.33077312000e+005, +1.20256266601e+003, +8.90089372944e+001
+2.34422882000e+005, +1.21229627959e+003, +8.90039095180e+001
+2.35776220000e+005, +1.22289064747e+003, +8.89701738949e+001
+2.37137371000e+005, +1.23362468146e+003, +8.89508038870e+001
+2.38506380000e+005, +1.24388704045e+003, +8.89326423524e+001
+2.39883292000e+005, +1.25497165566e+003, +8.88739161409e+001
+2.41268153000e+005, +1.26621927403e+003, +8.87879623987e+001
+2.42661010000e+005, +1.27716900480e+003, +8.86534640284e+001
+2.44061907000e+005, +1.28642627583e+003, +8.84472196339e+001
+2.45470892000e+005, +1.29146230510e+003, +8.82917696307e+001
+2.46888010000e+005, +1.29571296292e+003, +8.83849039847e+001
+2.48313311000e+005, +1.30436760894e+003, +8.85774533864e+001
+2.49746839000e+005, +1.31577062838e+003, +8.87148886623e+001
+2.51188643000e+005, +1.32804927106e+003, +8.87861778944e+001
+2.52638771000e+005, +1.34000882016e+003, +8.88142753780e+001
+2.54097271000e+005, +1.35187720786e+003, +8.88092613270e+001
+2.55564190000e+005, +1.36371605385e+003, +8.88328408558e+001
+2.57039578000e+005, +1.37587817729e+003, +8.88437603164e+001
+2.58523484000e+005, +1.38803842048e+003, +8.88524164389e+001
+2.60015956000e+005, +1.40046509982e+003, +8.88579330981e+001
+2.61517045000e+005, +1.41300436990e+003, +8.88615089455e+001
+2.63026799000e+005, +1.42584600476e+003, +8.88522788734e+001
+2.64545269000e+005, +1.43890322587e+003, +8.88524287172e+001
+2.66072506000e+005, +1.45216055061e+003, +8.88321421342e+001
+2.67608559000e+005, +1.46547646239e+003, +8.88190176562e+001
+2.69153480000e+005, +1.47902727650e+003, +8.88242561900e+001
+2.70707320000e+005, +1.49273046351e+003, +8.87917864896e+001
+2.72270131000e+005, +1.50670881027e+003, +8.87757631466e+001
+2.73841963000e+005, +1.52105577013e+003, +8.87436724487e+001
+2.75422870000e+005, +1.53585443736e+003, +8.87142499275e+001
+2.77012904000e+005, +1.55084941729e+003, +8.86587231920e+001
+2.78612117000e+005, +1.56601160469e+003, +8.86020030340e+001
+2.80220562000e+005, +1.58130296490e+003, +8.85069199804e+001
+2.81838293000e+005, +1.59673380594e+003, +8.83845691168e+001
+2.83465363000e+005, +1.61114764333e+003, +8.82240928615e+001
+2.85101827000e+005, +1.62320106665e+003, +8.80375096505e+001
+2.86747738000e+005, +1.63214960843e+003, +8.78949819013e+001
+2.88403150000e+005, +1.63968588695e+003, +8.78779082677e+001
+2.90068120000e+005, +1.64889999907e+003, +8.80155109187e+001
+2.91742701000e+005, +1.66159840747e+003, +8.81925083871e+001
+2.93426950000e+005, +1.67708547253e+003, +8.83558159941e+001
+2.95120923000e+005, +1.69430034203e+003, +8.84600448700e+001
+2.96824674000e+005, +1.71224127400e+003, +8.85317708473e+001
+2.98538262000e+005, +1.73016958128e+003, +8.85902015045e+001
+3.00261742000e+005, +1.74817679147e+003, +8.86190019274e+001
+3.01995172000e+005, +1.76599535178e+003, +8.86214793966e+001
+3.03738609000e+005, +1.78509499135e+003, +8.86444131564e+001
+3.05492111000e+005, +1.80399428640e+003, +8.86475601697e+001
+3.07255737000e+005, +1.82283531538e+003, +8.86554598486e+001
+3.09029543000e+005, +1.84214366461e+003, +8.86493000069e+001
+3.10813590000e+005, +1.86159981047e+003, +8.86504513676e+001
+3.12607937000e+005, +1.88135219991e+003, +8.86462659052e+001
+3.14412642000e+005, +1.90165882904e+003, +8.86359337149e+001
+3.16227766000e+005, +1.92178451911e+003, +8.86371906022e+001
+3.18053369000e+005, +1.94265787853e+003, +8.86176941829e+001
+3.19889511000e+005, +1.96374057994e+003, +8.86136690067e+001
+3.21736253000e+005, +1.98516196691e+003, +8.86012490338e+001
+3.23593657000e+005, +2.00720690977e+003, +8.85936834088e+001
+3.25461783000e+005, +2.02923590432e+003, +8.85790434690e+001
+3.27340695000e+005, +2.05175715075e+003, +8.85622712767e+001
+3.29230453000e+005, +2.07428303917e+003, +8.85358256846e+001
+3.31131121000e+005, +2.09775821946e+003, +8.85246169577e+001
+3.33042762000e+005, +2.12067059056e+003, +8.85130395320e+001
+3.34965439000e+005, +2.14521674928e+003, +8.84973464782e+001
+3.36899216000e+005, +2.16964266521e+003, +8.85019200037e+001
+3.38844156000e+005, +2.19483270826e+003, +8.84891396432e+001
+3.40800325000e+005, +2.22077228369e+003, +8.84861511110e+001
+3.42767787000e+005, +2.24723408347e+003, +8.84719195905e+001
+3.44746607000e+005, +2.27427908502e+003, +8.84569929137e+001
+3.46736850000e+005, +2.30143396038e+003, +8.84349146939e+001
+3.48738584000e+005, +2.32933268902e+003, +8.84326685401e+001
+3.50751874000e+005, +2.35855370908e+003, +8.84075643582e+001
+3.52776787000e+005, +2.38764545097e+003, +8.83940961239e+001
+3.54813389000e+005, +2.41731559836e+003, +8.83765460985e+001
+3.56861749000e+005, +2.44814269319e+003, +8.83766041711e+001
+3.58921935000e+005, +2.47972968824e+003, +8.83612478410e+001
+3.60994014000e+005, +2.51189479330e+003, +8.83301853452e+001
+3.63078055000e+005, +2.54399081651e+003, +8.83160760960e+001
+3.65174127000e+005, +2.57804768985e+003, +8.82929195048e+001
+3.67282300000e+005, +2.61226662511e+003, +8.82718754038e+001
+3.69402644000e+005, +2.64751894694e+003, +8.82452266770e+001
+3.71535229000e+005, +2.68309825862e+003, +8.82276589851e+001
+3.73680125000e+005, +2.72088156553e+003, +8.82134417409e+001
+3.75837404000e+005, +2.75767710603e+003, +8.81708748374e+001
+3.78007137000e+005, +2.79800065027e+003, +8.81527436542e+001
+3.80189396000e+005, +2.83754395154e+003, +8.81342610424e+001
+3.82384254000e+005, +2.87892454166e+003, +8.80955464826e+001
+3.84591782000e+005, +2.92005837659e+003, +8.80755523390e+001
+3.86812055000e+005, +2.96373570967e+003, +8.80439991151e+001
+3.89045145000e+005, +3.00852289070e+003, +8.80082562545e+001
+3.91291127000e+005, +3.05518138586e+003, +8.79656071437e+001
+3.93550075000e+005, +3.10145794274e+003, +8.79038568214e+001
+3.95822065000e+005, +3.15070343214e+003, +8.78465542518e+001
+3.98107171000e+005, +3.20160293088e+003, +8.77802419342e+001
+4.00405468000e+005, +3.25024884489e+003, +8.77128127961e+001
+4.02717034000e+005, +3.30021764522e+003, +8.76335362250e+001
+4.05041945000e+005, +3.35106656223e+003, +8.75511527868e+001
+4.07380278000e+005, +3.40229607226e+003, +8.75459170065e+001
+4.09732110000e+005, +3.45639929065e+003, +8.75217071295e+001
+4.12097519000e+005, +3.51268886492e+003, +8.75460155894e+001
+4.14476584000e+005, +3.57408219486e+003, +8.75610719696e+001
+4.16869383000e+005, +3.63628880592e+003, +8.75757699692e+001
+4.19275997000e+005, +3.70291909838e+003, +8.75415085399e+001
+4.21696503000e+005, +3.77145102221e+003, +8.75181912171e+001
+4.24130984000e+005, +3.84144723062e+003, +8.74834379302e+001
+4.26579519000e+005, +3.91612822014e+003, +8.74333874526e+001
+4.29042189000e+005, +3.99221705556e+003, +8.74077950271e+001
+4.31519077000e+005, +4.07028917973e+003, +8.73593755018e+001
+4.34010264000e+005, +4.15234980256e+003, +8.72894072899e+001
+4.36515832000e+005, +4.23797827439e+003, +8.72315444412e+001
+4.39035866000e+005, +4.32771271628e+003, +8.71737768540e+001
+4.41570447000e+005, +4.41865738848e+003, +8.70882495887e+001
+4.44119661000e+005, +4.51387666341e+003, +8.69816092735e+001
+4.46683592000e+005, +4.61458110619e+003, +8.68758068105e+001
+4.49262325000e+005, +4.71806318096e+003, +8.66824290017e+001
+4.51855944000e+005, +4.82017070436e+003, +8.65428420340e+001
+4.54464537000e+005, +4.92363786497e+003, +8.63814099844e+001
+4.57088190000e+005, +5.02263734786e+003, +8.62740592458e+001
+4.59726989000e+005, +5.13480567910e+003, +8.62605554408e+001
+4.62381021000e+005, +5.25206289770e+003, +8.63009755797e+001
+4.65050376000e+005, +5.38055839649e+003, +8.63187077964e+001
+4.67735141000e+005, +5.52364928338e+003, +8.63348908446e+001
+4.70435406000e+005, +5.67164935336e+003, +8.63152563805e+001
+4.73151259000e+005, +5.82895028421e+003, +8.62452400854e+001
+4.75882791000e+005, +5.99553186313e+003, +8.62120934895e+001
+4.78630092000e+005, +6.16836776661e+003, +8.61076994908e+001
+4.81393254000e+005, +6.35775167088e+003, +8.59963968654e+001
+4.84172368000e+005, +6.55523266811e+003, +8.59189949751e+001
+4.86967525000e+005, +6.76312413653e+003, +8.58490280548e+001
+4.89778819000e+005, +6.98443479373e+003, +8.56723083378e+001
+4.92606343000e+005, +7.22226479051e+003, +8.56340921211e+001
+4.95450191000e+005, +7.47330892080e+003, +8.54344613601e+001
+4.98310456000e+005, +7.74612080374e+003, +8.52556201683e+001
+5.01187234000e+005, +8.02722261650e+003, +8.50898569834e+001
+5.04080619000e+005, +8.34689931508e+003, +8.49537610533e+001
+5.06990708000e+005, +8.67722957962e+003, +8.46945228358e+001
+5.09917598000e+005, +9.04636177383e+003, +8.44711165486e+001
+5.12861384000e+005, +9.43909686245e+003, +8.42418400373e+001
+5.15822165000e+005, +9.86651130433e+003, +8.40424726014e+001
+5.18800039000e+005, +1.03379428887e+004, +8.37565286646e+001
+5.21795104000e+005, +1.08552893423e+004, +8.33808546627e+001
+5.24807460000e+005, +1.14337456044e+004, +8.30332662708e+001
+5.27837207000e+005, +1.20538902851e+004, +8.26567129619e+001
+5.30884444000e+005, +1.27598176265e+004, +8.21795650147e+001
+5.33949274000e+005, +1.35547847038e+004, +8.16902204449e+001
+5.37031796000e+005, +1.44228712235e+004, +8.11936063452e+001
+5.40132115000e+005, +1.54456538275e+004, +8.04004299509e+001
+5.43250331000e+005, +1.66085374984e+004, +7.96545073705e+001
+5.46386550000e+005, +1.79446131721e+004, +7.86241576466e+001
+5.49540874000e+005, +1.94956269048e+004, +7.76118488949e+001
+5.52713408000e+005, +2.13020019045e+004, +7.65754718010e+001
+5.55904257000e+005, +2.34985396657e+004, +7.52265855690e+001
+5.59113528000e+005, +2.62031518204e+004, +7.36517362339e+001
+5.62341325000e+005, +2.95012516057e+004, +7.16823674938e+001
+5.65587757000e+005, +3.39328712759e+004, +6.88107684954e+001
+5.68852931000e+005, +3.97532426009e+004, +6.51252684838e+001
+5.72136955000e+005, +4.73802791248e+004, +6.00190526843e+001
+5.75439937000e+005, +5.78128360703e+004, +5.17488249907e+001
+5.78761988000e+005, +7.22275208161e+004, +4.03845355084e+001
+5.82103218000e+005, +8.64412318178e+004, +2.28254239557e+001
+5.85463736000e+005, +9.46178321037e+004, -8.46767125331e-001
+5.88843655000e+005, +8.56437611012e+004, -2.37462917059e+001
+5.92243087000e+005, +7.06406900353e+004, -4.13847863456e+001
+5.95662144000e+005, +5.76515029200e+004, -5.29835568117e+001
+5.99100939000e+005, +4.69437363018e+004, -6.03649892916e+001
+6.02559586000e+005, +3.94683076429e+004, -6.55984412876e+001
+6.06038201000e+005, +3.39189119159e+004, -6.92545859415e+001
+6.09536897000e+005, +2.94306643461e+004, -7.20585789199e+001
+6.13055792000e+005, +2.61081634023e+004, -7.42139200692e+001
+6.16595002000e+005, +2.33794563061e+004, -7.58940971357e+001
+6.20154644000e+005, +2.11294137641e+004, -7.73897044670e+001
+6.23734835000e+005, +1.93058861791e+004, -7.84532111114e+001
+6.27335696000e+005, +1.77440483095e+004, -7.93935223170e+001
+6.30957344000e+005, +1.64382757201e+004, -8.02366093059e+001
+6.34599901000e+005, +1.52839678186e+004, -8.07611176950e+001
+6.38263486000e+005, +1.42539646975e+004, -8.13864761420e+001
+6.41948222000e+005, +1.33737714170e+004, -8.19440366018e+001
+6.45654229000e+005, +1.26082496999e+004, -8.22985450576e+001
+6.49381632000e+005, +1.19300455243e+004, -8.27631082079e+001
+6.53130553000e+005, +1.13026229238e+004, -8.31091613525e+001
+6.56901116000e+005, +1.07565945172e+004, -8.33382342681e+001
+6.60693448000e+005, +1.02648321685e+004, -8.36057619500e+001
+6.64507673000e+005, +9.81009949104e+003, -8.39541409411e+001
+6.68343918000e+005, +9.39228442685e+003, -8.42559561386e+001
+6.72202309000e+005, +9.00669204161e+003, -8.45086340784e+001
+6.76082975000e+005, +8.65046936755e+003, -8.47708836039e+001
+6.79986045000e+005, +8.31977646027e+003, -8.50324642035e+001
+6.83911647000e+005, +8.00659896190e+003, -8.52121619063e+001
+6.87859912000e+005, +7.71485607651e+003, -8.54292821443e+001
+6.91830971000e+005, +7.44981543756e+003, -8.55694746331e+001
+6.95824955000e+005, +7.19346273253e+003, -8.57433165039e+001
+6.99841996000e+005, +6.96381341431e+003, -8.59181426750e+001
+7.03882228000e+005, +6.73738173084e+003, -8.59809296201e+001
+7.07945784000e+005, +6.53123123692e+003, -8.61305624834e+001
+7.12032800000e+005, +6.34209981450e+003, -8.62239510908e+001
+7.16143410000e+005, +6.15346017166e+003, -8.63829397789e+001
+7.20277751000e+005, +5.98056510394e+003, -8.64948379157e+001
+7.24435960000e+005, +5.81763648148e+003, -8.65908021459e+001
+7.28618175000e+005, +5.66211198907e+003, -8.66763769884e+001
+7.32824533000e+005, +5.51604732388e+003, -8.67780163694e+001
+7.37055175000e+005, +5.37194205448e+003, -8.68462205456e+001
+7.41310241000e+005, +5.24023792355e+003, -8.69526623675e+001
+7.45589872000e+005, +5.11256013982e+003, -8.69867053331e+001
+7.49894209000e+005, +4.98889662071e+003, -8.70739475637e+001
+7.54223396000e+005, +4.87308366917e+003, -8.71237983456e+001
+7.58577575000e+005, +4.76035094199e+003, -8.72224699325e+001
+7.62956891000e+005, +4.65621114782e+003, -8.72794452759e+001
+7.67361489000e+005, +4.55236375332e+003, -8.73261757021e+001
+7.71791516000e+005, +4.45412044716e+003, -8.73730147607e+001
+7.76247117000e+005, +4.36323098350e+003, -8.74257747936e+001
+7.80728440000e+005, +4.27151520832e+003, -8.74956135703e+001
+7.85235635000e+005, +4.18495387469e+003, -8.75406025588e+001
+7.89768849000e+005, +4.10086905030e+003, -8.75744573053e+001
+7.94328235000e+005, +4.02141830355e+003, -8.76167643647e+001
+7.98913942000e+005, +3.94445986003e+003, -8.76771651230e+001
+8.03526122000e+005, +3.86840078042e+003, -8.77097003989e+001
+8.08164929000e+005, +3.79776995062e+003, -8.77637847988e+001
+8.12830516000e+005, +3.72874842630e+003, -8.77914458812e+001
+8.17523038000e+005, +3.66269297183e+003, -8.78362376348e+001
+8.22242650000e+005, +3.59474144510e+003, -8.78770320589e+001
+8.26989509000e+005, +3.53188394562e+003, -8.78974326270e+001
+8.31763771000e+005, +3.47245806181e+003, -8.79347574283e+001
+8.36565596000e+005, +3.41390326228e+003, -8.79547957736e+001
+8.41395142000e+005, +3.35708270301e+003, -8.79861889248e+001
+8.46252569000e+005, +3.30174294715e+003, -8.80150313677e+001
+8.51138038000e+005, +3.24838464911e+003, -8.80352646742e+001
+8.56051712000e+005, +3.19660500736e+003, -8.80869551831e+001
+8.60993752000e+005, +3.14561883750e+003, -8.80998943650e+001
+8.65964323000e+005, +3.09668148100e+003, -8.81372871335e+001
+8.70963590000e+005, +3.04894030984e+003, -8.81453583838e+001
+8.75991718000e+005, +3.00338747453e+003, -8.81764989368e+001
+8.81048873000e+005, +2.95726782260e+003, -8.81801752967e+001
+8.86135224000e+005, +2.91388427817e+003, -8.82021014208e+001
+8.91250938000e+005, +2.87247589434e+003, -8.82258840038e+001
+8.96396186000e+005, +2.83182477540e+003, -8.82593521713e+001
+9.01571138000e+005, +2.79072571659e+003, -8.82498331133e+001
+9.06775965000e+005, +2.75154244553e+003, -8.82648156172e+001
+9.12010839000e+005, +2.71350785896e+003, -8.83041823581e+001
+9.17275935000e+005, +2.67701809079e+003, -8.83255132678e+001
+9.22571427000e+005, +2.64086625764e+003, -8.83709875954e+001
+9.27897490000e+005, +2.60559731075e+003, -8.84017632717e+001
+9.33254301000e+005, +2.56996496215e+003, -8.84216481803e+001
+9.38642037000e+005, +2.53543097696e+003, -8.84516263993e+001
+9.44060876000e+005, +2.50243064573e+003, -8.84744510157e+001
+9.49510999000e+005, +2.46977850037e+003, -8.85101703549e+001
+9.54992586000e+005, +2.43803751900e+003, -8.85116154179e+001
+9.60505818000e+005, +2.40690054911e+003, -8.85323686224e+001
+9.66050879000e+005, +2.37621729617e+003, -8.85591577254e+001
+9.71627952000e+005, +2.34649236335e+003, -8.85685833622e+001
+9.77237221000e+005, +2.31656232007e+003, -8.85813438210e+001
+9.82878873000e+005, +2.28852732916e+003, -8.85952680877e+001
+9.88553095000e+005, +2.26026065559e+003, -8.86160473092e+001
+9.94260074000e+005, +2.23323737983e+003, -8.86361042951e+001
+1.00000000000e+006, +2.20612706202e+003, -8.86439998688e+001
+1.00577306300e+006, +2.17977101321e+003, -8.86701508517e+001
+1.01157945400e+006, +2.15438015477e+003, -8.86785037072e+001
+1.01741936600e+006, +2.12902707182e+003, -8.86886218942e+001
+1.02329299200e+006, +2.10457466552e+003, -8.87046906518e+001
+1.02920052700e+006, +2.07993726902e+003, -8.87272066682e+001
+1.03514216700e+006, +2.05617749771e+003, -8.87286505672e+001
+1.04111810800e+006, +2.03331698885e+003, -8.87403100765e+001
+1.04712854800e+006, +2.00993569137e+003, -8.87650016635e+001
+1.05317368700e+006, +1.98763016246e+003, -8.87699322662e+001
+1.05925372500e+006, +1.96621529909e+003, -8.87666148354e+001
+1.06536886400e+006, +1.94398250664e+003, -8.87844600585e+001
+1.07151930500e+006, +1.92280162012e+003, -8.87883509864e+001
+1.07770525400e+006, +1.90201645400e+003, -8.87886494575e+001
+1.08392691400e+006, +1.88179577499e+003, -8.88113574753e+001
+1.09018449200e+006, +1.86141409568e+003, -8.88217355678e+001
+1.09647819600e+006, +1.84197108020e+003, -8.88249997356e+001
+1.10280823400e+006, +1.82236917820e+003, -8.88288670312e+001
+1.10917481500e+006, +1.80369470644e+003, -8.88351144649e+001
+1.11557815100e+006, +1.78484516096e+003, -8.88533036434e+001
+1.12201845400e+006, +1.76628290695e+003, -8.88681561889e+001
+1.12849593800e+006, +1.74839526915e+003, -8.88810148332e+001
+1.13501081600e+006, +1.73018990025e+003, -8.88835896477e+001
+1.14156330500e+006, +1.71255028899e+003, -8.89046109908e+001
+1.14815362100e+006, +1.69565805394e+003, -8.89085705199e+001
+1.15478198500e+006, +1.67799362477e+003, -8.89223801655e+001
